Brezovka	49.27146	21.42043
Brezová pod Bradlom	48.66349	17.53905
Brežany	48.97871	21.11076
Brhlovce	48.22143	18.73928
Brieštie	48.92094	18.73607
Brodské	48.69089	17.01448
Brodzany	48.60828	18.34537
Brunovce	48.67415	17.85333
Brusnica	49.1532	21.69791
Brusno	48.79237	19.38219
Brusník	48.53758	20.15287
Brutovce	49.08585	20.77616
Bruty	47.92316	18.57973
Brvnište	49.21097	18.43069
Brzotín	48.631	20.49567
Buclovany	49.1553	21.36517
Budikovany	48.48842	20.08824
Budimír	48.79953	21.30162
Budince	48.54471	22.12329
Budiná	48.43333	19.6
Budiš	48.8729	18.75847
Budkovce	48.63216	21.93057
Budmerice	48.35756	17.40715
Budča	48.57384	19.06937
Buglovce	48.98566	20.6952
Bukovce	49.26917	21.7152
Bukovec	48.71032	21.1518
Bukovina	48.83402	21.35972
Buková	49.26043	18.59377
Bulhary	48.29351	19.84806
Bunetice	48.86088	21.39341
Bunkovce	48.7249	22.11687
Buzica	48.53221	21.07614
Buzitka	48.32903	19.81055
Bučany	48.41582	17.69721
Bušince	48.17455	19.50117
Bušovce	49.21781	20.48665
Bystrany	48.9487	20.75976
Bystričany	48.65967	18.51533
Bystrička	49.18333	19.13333
Bystrá	49.00552	20.25285
Bystré	49.01128	21.54292
Bytča	49.22404	18.55878
Byšta	48.53073	21.53875
Bzenica	48.52952	18.74158
Bzenov	48.94731	21.16671
Bzince pod Javorinou	48.78843	17.77449
Bziny	49.22745	19.32319
Bzovská Lehôtka	48.41405	19.13282
Bzovík	48.32154	19.09184
Báb	48.30995	17.86665
Bádice	48.39904	18.12554
Báhoň	48.30944	17.44519
Bánov	48.04662	18.18813
Bánovce nad Bebravou	48.7213	18.25754
Bánovce nad Ondavou	48.68316	21.81241
Bátka	48.37884	20.16995
Bátorove Kosihy	47.8294	18.42016
Bátorová	48.13442	19.27144
Bátovce	48.29084	18.74568
Báč	48.13333	17.56667
Bílkove Humence	48.58568	17.23811
Bíňa	47.92238	18.64157
Bíňovce	48.5042	17.48069
Bôrka	48.64234	20.78129
Búč	49.15627	21.25628
Bžany	49.0914	21.63828
Cabaj-Čápor	48.24445	18.02899
Cabov	48.80255	21.64945
Cakov	48.33897	20.22478
Cejkov	48.46633	21.76051
Cernina	49.29576	21.47422
Cerovo	48.25466	19.15667
Cerová	48.56997	18.52066
Cestice	48.59139	21.10103
Chanava	48.33614	20.29929
Chlebnice	49.25346	19.43332
Chlmec	48.88628	21.9393
Chmeľnica	49.29613	20.72953
Chmeľov	49.06805	21.43805
Chmeľovec	49.08226	21.36663
Chmeľová	49.39998	21.29885
Chminianska Nová Ves	49.00332	21.08251
Chminianske Jakubovany	48.99663	21.01989
Chmiňany	49.0014	21.06785
Chocholná-Velčice	48.8941	17.90301
Chorvátsky Grob	48.22651	17.26795
Chorváty	48.56476	20.87349
Chotín	47.80713	18.22691
Chotča	49.24641	21.68238
Choča	48.35678	18.32414
Choňkovce	48.77899	22.23951
Chrabrany	48.53249	18.14308
Chrastince	48.09033	19.25027
Chrastné	48.79367	21.3514
Chrasť nad Hornádom	48.92662	20.69523
Chrenovec-Brusno	48.77869	18.72674
Chropov	48.77422	17.3182
Chrámec	48.27875	20.18543
Chrťany	48.29171	19.46051
Chtelnica	48.56914	17.62311
Chudá Lehota	48.64863	18.19908
Chvalová	48.51289	20.17703
Chvojnica	48.82948	17.16103
Chynorany	48.60762	18.27648
Chyžné	48.66289	20.20097
Chľaba	47.83409	18.8134
Cigeľ	48.71382	18.63997
Cigeľka	49.4128	21.14437
Cigla	49.35979	21.39708
Cimenná	48.72862	18.14085
Cinobaňa	48.44744	19.65268
Cífer	48.3175	17.48987
Daletice	49.0401	21.06285
Danišovce	48.94968	20.62018
Dargov	48.73318	21.58522
Davidov	48.82652	21.63096
Dačov Lom	48.3225	19.2499
Debraď	48.65073	20.9778
Dechtice	48.54687	17.59666
Dedačov	49.03329	21.97297
Dedina Mládeže	47.9532	17.99146
Dedinka	48.06558	18.42236
Dedinky	48.8672	20.37947
Dekýš	48.4	18.76667
Demandice	48.1256	18.7831
Demjata	49.10652	21.31389
Demänovská Dolina	48.97086	19.58433
Detrík	49.0425	21.62763
Detva	48.56082	19.41954
Detvianska Huta	48.56951	19.59163
Devičany	48.32253	18.70536
Devičie	48.30835	19.02655
Dežerice	48.76326	18.21639
Diakovce	48.1345	17.842
Diaková	49.0503	18.96309
Diviacka Nová Ves	48.74787	18.4965
Diviaky nad Nitricou	48.76691	18.49185
Divina	49.27178	18.69516
Divinka	49.25433	18.69984
Divín	48.4499	19.53528
Dlhoňa	49.40121	21.57061
Dlhá	49.38168	18.64647
Dlhá Ves	48.49491	20.439
Dlhá nad Kysucou	49.37217	18.65891
Dlhá nad Oravou	49.26667	19.45
Dlhá nad Váhom	48.17186	17.86432
Dlhé Klčovo	48.8108	21.7399
Dlhé Pole	49.3073	18.63166
Dlhé Stráže	49.0268	20.5208
Dlhé nad Cirochou	48.9599	22.06226
Dlžín	48.8103	18.51352
Dobrohošť	47.98268	17.36556
Dobroslava	49.36368	21.61501
Dobroč	48.73295	19.70066
Dobrá	48.41254	22.02862
Dobrá Niva	48.47082	19.10562
Dobrá Voda	48.59723	17.53847
Dobšiná	48.82073	20.36988
Dohňany	49.14867	18.28571
Dojč	48.6775	17.25432
Dolinka	48.52128	20.29914
Dolná Breznica	49.08058	18.26083
Dolná Krupá	48.48266	17.55112
Dolná Lehota	49.26207	19.38234
Dolná Mariková	49.25	18.36667
Dolná Mičiná	48.67542	19.22235
Dolná Poruba	48.91212	18.29711
Dolná Seč	48.17634	18.56397
Dolná Streda	48.26914	17.74994
Dolná Strehová	48.2508	19.4888
Dolná Súča	48.96079	18.03202
Dolná Tižina	49.21558	18.91566
Dolná Trnávka	48.56037	18.78835
Dolná Ves	48.66473	18.91294
Dolná Ždaňa	48.54645	18.76196
Dolné Dubové	48.49173	17.61018
Dolné Kočkovce	49.09435	18.32528
Dolné Lefantovce	48.42492	18.12494
Dolné Lovčice	48.3665	17.67635
Dolné Mladonice	48.33897	19.12755
Dolné Naštice	48.69396	18.24955
Dolné Obdokovce	48.31325	18.21048
Dolné Orešany	48.43966	17.42942
Dolné Otrokovce	48.46808	17.91008
Dolné Plachtince	48.20002	19.30997
Dolné Saliby	48.10724	17.78174
Dolné Semerovce	48.11055	18.85271
Dolné Srnie	48.80216	17.82057
Dolné Strháre	48.24851	19.39372
Dolné Trhovište	48.44025	17.90434
Dolné Vestenice	48.70344	18.39708
Dolné Zahorany	48.35063	19.90404
Dolné Zelenice	48.37602	17.74761
Dolný Badín	48.26986	19.06731
Dolný Bar	47.96591	17.68813
Dolný Chotár	47.99527	17.86079
Dolný Harmanec	48.83117	19.03806
Dolný Hričov	49.23192	18.63326
Dolný Kalník	49.04159	18.96287
Dolný Kubín	49.20983	19.30341
Dolný Lieskov	49.05178	18.42147
Dolný Lopašov	48.57406	17.64634
Dolný Ohaj	48.08214	18.25299
Dolný Pial	48.13167	18.46188
Dolný Vadičov	49.27015	18.84615
Dolný Štál	47.93333	17.71667
Domadice	48.17644	18.77967
Domaniža	49.04434	18.55742
Domaníky	48.26268	18.98775
Domaňovce	48.96987	20.65355
Donovaly	48.88013	19.22238
Doľany	49.01305	20.65552
Drahovce	48.51591	17.80287
Drahňov	48.59319	21.96591
Dravce	49.01975	20.48534
Dražice	48.43718	20.06559
Dražkovce	49.05096	18.95693
Drienica	49.13113	21.11064
Drienov	48.87318	21.27382
Drienovec	48.61028	20.94747
Drienovo	48.23029	19.06256
Drienovská Nová Ves	48.89971	21.24022
Drienčany	48.48131	20.07179
Drietoma	48.89421	17.95205
Drnava	48.63948	20.65673
Družstevná pri Hornáde	48.79221	21.24084
Drábsko	48.64929	19.6554
Drážovce	48.25324	18.90717
Drňa	48.26265	20.11591
Drženice	48.28668	18.69686
Držkovce	48.54188	20.23618
Dubinné	49.24534	21.43841
Dubnica nad Váhom	48.95981	18.16634
Dubnička	48.72615	18.25188
Dubno	48.19196	20.00166
Dubník	48.91167	21.46518
Dubodiel	48.76124	18.11126
Dubovany	48.52811	17.73311
Dubovce	48.76447	17.24433
Dubovec	48.293	20.15408
Dubovica	49.13629	20.95403
Dubová	49.36203	21.43415
Dubové	48.85753	18.79391
Ducové	48.62844	17.86654
Dudince	48.17135	18.88782
Dukovce	49.12173	21.41682
Dulov	49.03938	18.25662
Dulova Ves	48.95313	21.3061
Dulovce	47.86915	18.27284
Dulovo	48.37407	20.19141
Dunajov	49.36196	18.82135
Dunajská Lužná	48.08347	17.26072
Dunajská Streda	47.99268	17.61211
Dunajský Klátov	48.03306	17.69565
Duplín	49.23557	21.62483
Dvorany nad Nitrou	48.48663	18.11871
Dvorec	48.90756	18.8062
Dvorianky	48.73089	21.70779
Dvorníky	48.60113	20.83962
Dvorníky-Včeláre	48.596	20.82036
Dvory nad Žitavou	47.98946	18.26717
Dúbrava	48.99023	21.49341
Dúbravica	48.67964	19.27292
Dúbravka	48.63593	21.88857
Dúbravy	48.58675	19.36873
Egreš	48.61436	21.60623
Falkušovce	48.63228	21.84128
Farná	48.00577	18.5112
Fačkov	49.01061	18.60257
Fekišovce	48.77126	22.08475
Figa	48.39915	20.25301
Fijaš	49.12669	21.5724
Fintice	49.05188	21.28664
Fiľakovo	48.26757	19.82473
Fiľakovské Kováče	48.29208	19.77623
Folkušová	48.96863	18.94768
Forbasy	49.29653	20.61072
Frička	49.40461	21.08326
Fričkovce	49.18527	21.23908
Fričovce	49.0167	20.96302
Fulianka	49.064	21.33146
Gaboltov	49.36684	21.14063
Gabčíkovo	47.89211	17.57884
Gajary	48.46667	16.93333
Galanta	48.19001	17.72747
Galovany	49.07359	19.53252
Gbelce	47.85185	18.51277
Gbely	48.718	17.11628
Gbeľany	49.22173	18.85425
Gelnica	48.85584	20.93713
Gemer	48.44963	20.31576
Gemerská Hôrka	48.54357	20.36008
Gemerská Panica	48.47258	20.35042
Gemerská Poloma	48.74906	20.49237
Gemerská Ves	48.48294	20.27867
Gemerské Dechtáre	48.23834	20.02199
Gemerské Michalovce	48.43766	20.21192
Gemerské Teplice	48.60485	20.28208
Gemerský Jablonec	48.19446	19.97611
Gemerský Sad	48.58798	20.33092
Gemerček	48.31788	19.99142
Geraltov	49.1394	21.25865
Gerlachov	49.31963	21.11582
Geča	48.62785	21.30991
Giglovce	49.00095	21.73061
Giraltovce	49.11398	21.51731
Girovce	49.0136	21.75848
Glabušovce	48.15538	19.45831
Golianovo	48.27189	18.19185
Gortva	48.29724	20.08
Gočaltovo	48.63782	20.3454
Gočovo	48.75931	20.42018
Granč-Petrovce	48.99646	20.80466
Gregorova Vieska	48.38499	19.57909
Gregorovce	49.06743	21.20763
Gribov	49.29448	21.72292
Gruzovce	48.97471	21.86585
Gyňov	48.58862	21.30368
Gánovce	49.03011	20.32751
Gáň	48.22914	17.71888
